=== Solar Power Monitor Log - 2025-06-29 ===
Time     | Device              | WiFi RSSI | Free Heap    | Uptime
--------------------------------------------------------------------------------
18:00:01 | Device: esp32_solar_monitor | WiFi RSSI: -55 dBm | Free Heap: 225880 bytes | Uptime: 1.5s
14:03:02 | Device: esp32_solar_monitor | WiFi RSSI: -43 dBm | Free Heap: 218240 bytes | Uptime: 409.1s
18:00:02 | Device: esp32_solar_monitor | WiFi RSSI: -46 dBm | Free Heap: 225876 bytes | Uptime: 2.2s
14:06:18 | Device: esp32_solar_monitor | WiFi RSSI: -19 dBm | Free Heap: 225072 bytes | Uptime: 122.6s
18:58:20 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 225452 bytes | Uptime: 122.2s
19:00:20 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 225076 bytes | Uptime: 242.6s
19:02:21 | Device: esp32_solar_monitor | WiFi RSSI: -23 dBm | Free Heap: 225076 bytes | Uptime: 363.0s
19:04:21 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 225076 bytes | Uptime: 483.4s
19:06:21 | Device: esp32_solar_monitor | WiFi RSSI: -23 dBm | Free Heap: 225076 bytes | Uptime: 603.7s
19:08:22 | Device: esp32_solar_monitor | WiFi RSSI: -22 dBm | Free Heap: 225076 bytes | Uptime: 724.1s
19:10:22 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 225076 bytes | Uptime: 844.4s
19:12:22 | Device: esp32_solar_monitor | WiFi RSSI: -22 dBm | Free Heap: 225076 bytes | Uptime: 964.8s
19:14:23 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 225076 bytes | Uptime: 1085.2s
19:16:23 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 225076 bytes | Uptime: 1205.6s
19:18:23 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 225076 bytes | Uptime: 1325.9s
19:20:24 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 225076 bytes | Uptime: 1446.3s
19:22:24 | Device: esp32_solar_monitor | WiFi RSSI: -26 dBm | Free Heap: 225076 bytes | Uptime: 1566.6s
19:24:24 | Device: esp32_solar_monitor | WiFi RSSI: -23 dBm | Free Heap: 225076 bytes | Uptime: 1687.0s
19:26:25 | Device: esp32_solar_monitor | WiFi RSSI: -29 dBm | Free Heap: 225076 bytes | Uptime: 1807.3s
19:28:25 | Device: esp32_solar_monitor | WiFi RSSI: -28 dBm | Free Heap: 225076 bytes | Uptime: 1927.6s
19:30:26 | Device: esp32_solar_monitor | WiFi RSSI: -27 dBm | Free Heap: 225076 bytes | Uptime: 2048.0s
19:32:26 | Device: esp32_solar_monitor | WiFi RSSI: -28 dBm | Free Heap: 225076 bytes | Uptime: 2168.3s
